ID,Longitude,Latitude,Altitude,North,East,Height,Yaw,Roll,Pitch
288006,118.868779,32.016886,10.3,-1716926.826,3699722.644,1030,0.921447,0.016214,-0.035343
288007,118.868777,32.016887,10.3,-1716913.467,3699706.626,1030,0.921272,0.016197,-0.035936
288008,118.868775,32.016888,10.3,-1716901.222,3699690.607,1030,0.921063,0.016214,-0.036355
288009,118.868774,32.016889,10.3,-1716888.977,3699674.588,1030,0.920836,0.016109,-0.0366
288010,118.868772,32.01689,10.3,-1716876.732,3699658.569,1030,0.920626,0.015865,-0.036722
288011,118.86877,32.016891,10.3,-1716863.374,3699642.551,1030,0.920469,0.015551,-0.036739
288012,118.868769,32.016892,10.3,-1716851.129,3699626.532,1030,0.920277,0.015324,-0.036739
288013,118.868767,32.016894,10.3,-1716838.883,3699610.513,1030,0.920102,0.015097,-0.0366
288014,118.868765,32.016895,10.3,-1716826.638,3699595.437,1030,0.919963,0.014713,-0.036303
288015,118.868764,32.016896,10.3,-1716814.393,3699579.418,1030,0.919823,0.014539,-0.035989
288016,118.868762,32.016897,10.3,-1716801.035,3699563.399,1030,0.919736,0.014364,-0.035622
288017,118.86876,32.016898,10.29,-1716788.79,3699547.381,1029,0.919666,0.014364,-0.035186
288018,118.868759,32.016899,10.29,-1716776.545,3699531.362,1029,0.919492,0.014573,-0.034872
288019,118.868757,32.0169,10.29,-1716764.299,3699515.343,1029,0.919352,0.014783,-0.034435
288020,118.868755,32.016901,10.29,-1716750.941,3699499.325,1029,0.919213,0.01501,-0.034226
288021,118.868753,32.016903,10.29,-1716738.696,3699483.306,1029,0.919038,0.015341,-0.033877
288022,118.868752,32.016904,10.29,-1716726.451,3699467.287,1029,0.918898,0.015673,-0.03365
288023,118.86875,32.016905,10.29,-1716714.206,3699451.269,1029,0.918724,0.015935,-0.033441
288024,118.868748,32.016906,10.29,-1716701.96,3699436.192,1029,0.918532,0.016074,-0.033423
288025,118.868747,32.016907,10.29,-1716688.602,3699420.173,1029,0.918392,0.016127,-0.033388
288026,118.868745,32.016908,10.28,-1716676.357,3699404.155,1028,0.918253,0.016266,-0.033423
288027,118.868743,32.016909,10.28,-1716664.112,3699388.136,1028,0.918043,0.016389,-0.033493
288028,118.868742,32.01691,10.28,-1716651.867,3699372.117,1028,0.917868,0.016441,-0.033737
288029,118.86874,32.016911,10.28,-1716638.508,3699356.099,1028,0.917677,0.016336,-0.034086
288030,118.868738,32.016913,10.28,-1716626.263,3699341.022,1028,0.917502,0.016354,-0.034418
288031,118.868737,32.016914,10.28,-1716614.018,3699325.003,1028,0.917327,0.016266,-0.034715
288032,118.868735,32.016915,10.28,-1716601.773,3699308.985,1028,0.91717,0.016249,-0.034994
288033,118.868733,32.016916,10.28,-1716589.528,3699292.966,1028,0.917013,0.016389,-0.035291
288034,118.868732,32.016917,10.28,-1716576.169,3699276.947,1028,0.916856,0.016633,-0.0355
288035,118.86873,32.016918,10.28,-1716563.924,3699261.871,1028,0.916664,0.016877,-0.03564
288036,118.868728,32.016919,10.28,-1716551.679,3699245.852,1028,0.916542,0.01693,-0.035971
288037,118.868727,32.01692,10.28,-1716539.434,3699229.833,1028,0.916473,0.017087,-0.035989
288038,118.868725,32.016922,10.28,-1716527.189,3699214.757,1028,0.916368,0.017349,-0.036006
288039,118.868724,32.016923,10.28,-1716513.831,3699200.623,1028,0.916141,0.017698,-0.035901
288040,118.868722,32.016924,10.27,-1716500.472,3699186.489,1027,0.915966,0.018012,-0.035587
288041,118.86872,32.016925,10.27,-1716487.114,3699172.355,1027,0.915757,0.018204,-0.035099
288042,118.86872,32.016925,10.27,-1716487.114,3699172.355,1027,0.915757,0.018204,-0.035099
288043,118.868719,32.016926,10.27,-1716473.755,3699158.22,1027,0.915635,0.018204,-0.03461
288044,118.868718,32.016928,10.26,-1716460.397,3699145.029,1026,0.91553,0.018291,-0.033859
288045,118.868716,32.016929,10.26,-1716448.152,3699130.894,1026,0.915338,0.018518,-0.033091
288046,118.868715,32.01693,10.26,-1716434.794,3699116.76,1026,0.915146,0.018483,-0.032515
288047,118.868713,32.016931,10.25,-1716421.435,3699102.626,1025,0.914989,0.018274,-0.031835
288048,118.868712,32.016932,10.25,-1716408.077,3699089.434,1025,0.914884,0.017959,-0.031224
288049,118.86871,32.016933,10.24,-1716394.719,3699075.3,1024,0.914797,0.017837,-0.030753
288050,118.868709,32.016934,10.24,-1716382.474,3699061.166,1024,0.914745,0.017645,-0.029985
288051,118.868707,32.016936,10.24,-1716369.115,3699047.032,1024,0.91457,0.017785,-0.029461
288052,118.868706,32.016937,10.24,-1716355.757,3699032.898,1024,0.91443,0.01782,-0.029199
288053,118.868704,32.016938,10.24,-1716343.512,3699016.879,1024,0.914326,0.01782,-0.02913
288054,118.868702,32.016939,10.24,-1716331.267,3699001.803,1024,0.914238,0.018064,-0.02913
